Signal Legend:

Key        Signal Name

0        = VGA_Controller:u1|oAddress[0..18]
1        = camera_read:camera_read_0|wraddr[0..18]
2        = HREF_cam
3        = PCLK_cam
4        = camera_read:camera_read_0|pixel_valid

Data Table:

Signals-> 0      1      2 3 4 

sample

-2048     05A45h 0010Ah 1 1 1 
-2047     05A46h 0010Ah 1 1 1 
-2046     05A46h 0010Ah 1 0 1 
-2045     05A46h 0010Ah 1 0 1 
-2044     05A46h 0010Ah 1 1 0 
-2043     05A47h 0010Ah 1 1 0 
-2042     05A47h 0010Ah 1 0 0 
-2041     05A47h 0010Ah 1 0 0 
-2040     05A47h 0010Bh 1 1 1 
-2039     05A48h 0010Bh 1 1 1 
-2038     05A48h 0010Bh 1 0 1 
-2037     05A48h 0010Bh 1 0 1 
-2036     05A48h 0010Bh 1 1 0 
-2035     05A49h 0010Bh 1 1 0 
-2034     05A49h 0010Bh 1 0 0 
-2033     05A49h 0010Bh 1 0 0 
-2032     05A49h 0010Fh 1 1 1 
-2031     05A4Ah 0010Ch 1 1 1 
-2030     05A4Ah 0010Ch 1 0 1 
-2029     05A4Ah 0010Ch 1 0 1 
-2028     05A4Ah 0010Ch 1 1 0 
-2027     05A4Bh 0010Ch 1 1 0 
-2026     05A4Bh 0010Ch 1 1 0 
-2025     05A4Bh 0010Ch 1 0 0 
-2024     05A4Bh 0010Ch 1 0 1 
-2023     05A4Ch 0010Dh 1 1 1 
-2022     05A4Ch 0010Dh 1 1 1 
-2021     05A4Ch 0010Dh 1 0 1 
-2020     05A4Ch 0010Dh 1 0 1 
-2019     05A4Dh 0010Dh 1 1 0 
-2018     05A4Dh 0010Dh 1 1 0 
-2017     05A4Dh 0010Dh 1 0 0 
-2016     05A4Dh 0010Dh 1 0 0 
-2015     05A4Eh 0010Eh 1 1 1 
-2014     05A4Eh 0010Eh 1 1 1 
-2013     05A4Eh 0010Eh 1 0 1 
-2012     05A4Eh 0010Eh 1 0 1 
-2011     05A4Fh 0010Eh 1 1 0 
-2010     05A4Fh 0010Eh 1 1 0 
-2009     05A4Fh 0010Eh 1 0 0 
